base_case_id,scenario,battery_enabled,smart_ev_charging_enabled,ev_v2b_enabled,weather_type,PV_install_rate,ev_count,bat_count,price_gap,pv_total_kWh,pv_peak_kW,pv_midday_kWh,pv_to_load_ratio,pv_surplus_before_storage_kWh,pv_surplus_ratio,load_total_kWh,load_peak_kW,load_peak_time,battery_total_capacity_kWh,battery_power_kW,battery_to_load_ratio,storage_to_pv_ratio,ev_total_capacity_kWh,avg_arrival_time,avg_departure_time,avg_parking_hours,avg_initial_soc,avg_target_soc,ev_to_load_ratio,parking_flexibility,ev_peak_available_hours,min_price,max_price,actual_price_spread,price_gap_ratio,pv_only_baseline_cost,scenario_cost,incremental_saving,incremental_saving_rate,incremental_saving_per_EV,incremental_saving_per_battery,grid_import_total_kWh,grid_import_peak_kW,pv_self_consumption_kWh,pv_self_consumption_rate,pv_curtailment_kWh,battery_charge_kWh,battery_discharge_kWh,battery_cycles,ev_charge_kWh,ev_discharge_kWh,ev_unmet_kWh,ev_departure_violation_count,battery_extra_saving,smart_ev_extra_saving,v2b_total_extra_saving,v2b_extra_over_smart_charging,integrated_extra_saving,battery_v2b_interaction_saving,S4_vs_best_single_saving
222,S1_PV_battery,True,False,False,0,0.1356883177922793,7,6,3.2048276404937885,41.081725715534375,6.665085335831151,23.067248455911653,0.014193716647388152,0.0,0.0,2894.36,157.9,15,81.0,30,0.027985461380063293,1.9716795871934656,472.5,8.285714285714286,18.142857142857142,9.857142857142858,0.25057071359824995,0.9000000000000001,0.16324852471703588,69.0,15,2.23,8.639655280987578,6.409655280987577,3.874284879366627,17648.97900844864,17316.699766211925,332.2792422367165,0.018827108473394017,47.46846317667379,55.37987370611942,3182.103103573757,186.65721057089863,41.081725715534375,1.0,0.0,59.684210526315766,53.865,0.665,323.0056187629757,0.0,0.0,0,332.2792422367165,3.637978807091713e-12,88.69748813624392,88.69748813624028,420.9767303729568,-3.637978807091713e-12,88.69748813624028
222,S2_PV_smart_EV_charging,False,True,False,0,0.1356883177922793,7,6,3.2048276404937885,41.081725715534375,6.665085335831151,23.067248455911653,0.014193716647388152,0.0,0.0,2894.36,157.9,15,81.0,30,0.027985461380063293,1.9716795871934656,472.5,8.285714285714286,18.142857142857142,9.857142857142858,0.25057071359824995,0.9000000000000001,0.16324852471703588,69.0,15,2.23,8.639655280987578,6.409655280987577,3.874284879366627,17648.97900844864,17648.979008448638,3.637978807091713e-12,2.0612970333015848e-16,5.19711258155959e-13,6.063298011819521e-13,3176.283893047442,192.74211505368623,41.081725715534375,1.0,0.0,0.0,0.0,0.0,323.0056187629757,0.0,0.0,0,332.2792422367165,3.637978807091713e-12,88.69748813624392,88.69748813624028,420.9767303729568,-3.637978807091713e-12,88.69748813624028
222,S3_PV_V2B,False,True,True,0,0.1356883177922793,7,6,3.2048276404937885,41.081725715534375,6.665085335831151,23.067248455911653,0.014193716647388152,0.0,0.0,2894.36,157.9,15,81.0,30,0.027985461380063293,1.9716795871934656,472.5,8.285714285714286,18.142857142857142,9.857142857142858,0.25057071359824995,0.9000000000000001,0.16324852471703588,69.0,15,2.23,8.639655280987578,6.409655280987577,3.874284879366627,17648.97900844864,17560.281520312397,88.69748813624392,0.005025644151640956,12.671069733749132,14.782914689373987,3179.9444843443766,199.23743877748979,41.081725715534375,1.0,0.0,0.0,0.0,0.0,360.55014488538694,33.88393482547618,0.0,0,332.2792422367165,3.637978807091713e-12,88.69748813624392,88.69748813624028,420.9767303729568,-3.637978807091713e-12,88.69748813624028
222,S4_PV_battery_V2B,True,True,True,0,0.1356883177922793,7,6,3.2048276404937885,41.081725715534375,6.665085335831151,23.067248455911653,0.014193716647388152,0.0,0.0,2894.36,157.9,15,81.0,30,0.027985461380063293,1.9716795871934656,472.5,8.285714285714286,18.142857142857142,9.857142857142858,0.25057071359824995,0.9000000000000001,0.16324852471703588,69.0,15,2.23,8.639655280987578,6.409655280987577,3.874284879366627,17648.97900844864,17228.002278075684,420.9767303729568,0.023852752625034765,60.1395329104224,70.1627883954928,3185.7636948706922,199.23743877748979,41.081725715534375,1.0,0.0,59.684210526315766,53.865,0.665,360.55014488538694,33.88393482547618,0.0,0,332.2792422367165,3.637978807091713e-12,88.69748813624392,88.69748813624028,420.9767303729568,-3.637978807091713e-12,88.69748813624028
223,S0_PV_only_unmanaged_EV,False,False,False,0,0.34562499357640153,8,5,2.3336404688397523,104.64328409079133,16.97729114682772,58.756846050702286,0.036154204760565835,0.0,0.0,2894.36,157.9,15,67.5,25,0.023321217816719413,0.6450485627098169,540.0,8.25,19.375,11.125,0.19592138307849566,0.9,0.1865697425337553,89.0,27,2.23,6.897280937679504,4.667280937679504,3.0929510931298223,14844.899148501048,14844.899148501048,0.0,0.0,0.0,0.0,3189.929824475116,196.5156182960276,104.64328409079133,1.0,0.0,0.0,0.0,0.0,400.21310856590776,0.0,0.0,0,198.68854019535138,-1.8189894035458565e-12,51.05893588656909,51.05893588657091,249.74747608192047,0.0,51.05893588656909
223,S1_PV_battery,True,False,False,0,0.34562499357640153,8,5,2.3336404688397523,104.64328409079133,16.97729114682772,58.756846050702286,0.036154204760565835,0.0,0.0,2894.36,157.9,15,67.5,25,0.023321217816719413,0.6450485627098169,540.0,8.25,19.375,11.125,0.19592138307849566,0.9,0.1865697425337553,89.0,27,2.23,6.897280937679504,4.667280937679504,3.0929510931298223,14844.899148501048,14646.210608305697,198.68854019535138,0.013384297071187162,24.836067524418922,39.73770803907028,3194.7791665803798,196.5156182960276,104.64328409079133,1.0,0.0,49.736842105263115,44.88750000000002,0.6650000000000003,400.21310856590776,0.0,0.0,0,198.68854019535138,-1.8189894035458565e-12,51.05893588656909,51.05893588657091,249.74747608192047,0.0,51.05893588656909
223,S2_PV_smart_EV_charging,False,True,False,0,0.34562499357640153,8,5,2.3336404688397523,104.64328409079133,16.97729114682772,58.756846050702286,0.036154204760565835,0.0,0.0,2894.36,157.9,15,67.5,25,0.023321217816719413,0.6450485627098169,540.0,8.25,19.375,11.125,0.19592138307849566,0.9,0.1865697425337553,89.0,27,2.23,6.897280937679504,4.667280937679504,3.0929510931298223,14844.899148501048,14844.89914850105,-1.8189894035458565e-12,-1.2253295797765843e-16,-2.2737367544323206e-13,-3.637978807091713e-13,3189.929824475116,204.01348813731218,104.64328409079133,1.0,0.0,0.0,0.0,0.0,400.2131085659077,0.0,0.0,0,198.68854019535138,-1.8189894035458565e-12,51.05893588656909,51.05893588657091,249.74747608192047,0.0,51.05893588656909
223,S3_PV_V2B,False,True,True,0,0.34562499357640153,8,5,2.3336404688397523,104.64328409079133,16.97729114682772,58.756846050702286,0.036154204760565835,0.0,0.0,2894.36,157.9,15,67.5,25,0.023321217816719413,0.6450485627098169,540.0,8.25,19.375,11.125,0.19592138307849566,0.9,0.1865697425337553,89.0,27,2.23,6.897280937679504,4.667280937679504,3.0929510931298223,14844.899148501048,14793.84021261448,51.05893588656909,0.0034394936183668665,6.382366985821136,10.211787177313818,3192.926681793372,207.05969486238854,104.64328409079133,1.0,0.0,0.0,0.0,0.0,430.9501067018642,27.740140817700738,0.0,0,198.68854019535138,-1.8189894035458565e-12,51.05893588656909,51.05893588657091,249.74747608192047,0.0,51.05893588656909
223,S4_PV_battery_V2B,True,True,True,0,0.34562499357640153,8,5,2.3336404688397523,104.64328409079133,16.97729114682772,58.756846050702286,0.036154204760565835,0.0,0.0,2894.36,157.9,15,67.5,25,0.023321217816719413,0.6450485627098169,540.0,8.25,19.375,11.125,0.19592138307849566,0.9,0.1865697425337553,89.0,27,2.23,6.897280937679504,4.667280937679504,3.0929510931298223,14844.899148501048,14595.151672419128,249.74747608192047,0.01682379068955403,31.21843451024006,49.94949521638409,3197.7760238986357,207.05969486238854,104.64328409079133,1.0,0.0,49.73684210526316,44.8875,0.665,430.9501067018642,27.740140817700738,0.0,0,198.68854019535138,-1.8189894035458565e-12,51.05893588656909,51.05893588657091,249.74747608192047,0.0,51.05893588656909
224,S0_PV_only_unmanaged_EV,False,False,False,0,0.3380844093662614,0,4,3.3781065479912167,102.3602562126648,16.60689347324506,57.474933706971214,0.03536541971719648,0.0,0.0,2894.36,157.9,15,54.0,20,0.01865697425337553,0.5275485036673707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.23,8.986213095982434,6.756213095982433,4.029691971292571,16195.851520859807,16195.851520859807,0.0,0.0,0.0,0.0,2791.9997437873353,156.80426696951858,102.3602562126648,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,233.96438596093867,1.8189894035458565e-12,1.8189894035458565e-12,0.0,233.96438596093867,-1.8189894035458565e-12,0.0
